Age,Monthly_Income,Profession,City_Type,Household_Size,Weekly_Activity_Freq,Sports_Played,Owns_Equipment,Equipment_Owned,Purchase_Channel,Importance_Quality,Importance_Price,Importance_Brand,Importance_Speed,Importance_Sustainability,Importance_Customization,Importance_BundleDeals,Monthly_Equipment_Budget,Willingness_To_Use_App,Influenced_By_Sustainability,Satisfaction_Current_Buying,Purchase_Influencers,Purchase_Challenges,Preference_Rent_Over_Buy,Knowledge_Level,Willing_To_Recommend
28,48281,Working Professional,Tier 2,2,1-2 times,"['Football', 'Badminton']",Yes,"['Yoga Mats', 'Shoes']",Offline,4,3,5,5,4,2,5,1668,Neutral,Maybe,1,"['Eco-friendly packaging', 'Buy-back offers', 'Loyalty rewards']","['Poor quality', 'Poor personalization']",Maybe,Intermediate,Definitely
34,68567,Student,Tier 3,3,1-2 times,"['Tennis', 'Basketball', 'Gym', 'Running']",No,[],Both,3,2,1,4,5,4,5,1203,Neutral,Yes,5,"['Buy-back offers', 'Loyalty rewards', 'Fitness events']","['Limited stock', 'Late delivery']",No,Beginner,Probably
25,26083,Working Professional,Tier 2,4,1-2 times,"['Tennis', 'Badminton']",No,[],Online,4,3,2,3,5,4,4,2439,Likely,No,2,"['Buy-back offers', 'Eco-friendly packaging', 'Personalized discounts']","['Expensive pricing', 'Limited stock', 'Not eco-friendly', 'Poor personalization']",Yes,Expert,Not Sure
52,41009,Student,Metro,4,3-4 times,"['Basketball', 'Gym', 'Badminton', 'Cycling']",No,"['Yoga Mats', 'Rackets']",Offline,3,4,2,4,1,3,5,3441,Very Likely,No,3,"['Personalized discounts', 'Loyalty rewards', 'Buy-back offers']","['No bundling', 'Limited stock', 'Poor personalization', 'Not eco-friendly']",Yes,Beginner,Definitely
52,50078,Student,Tier 3,3,3-4 times,"['Running', 'Football', 'Tennis', 'Gym']",Yes,"['Nets', 'Weights']",Offline,4,3,4,3,5,4,4,958,Likely,Maybe,3,"['Loyalty rewards', 'Personalized discounts', 'Smart recommendations']",['Poor personalization'],No,Beginner,Probably
50,50704,Working Professional,Tier 2,1,3-4 times,"['Tennis', 'Cricket', 'Cycling']",Yes,"['Nets', 'Yoga Mats']",Online,3,5,5,3,4,2,4,517,Likely,No,1,"['Smart recommendations', 'Loyalty rewards', 'Personalized discounts']","['Late delivery', 'None', 'Not eco-friendly']",No,Intermediate,Definitely
22,43249,Business Owner,Tier 2,3,5+ times,"['Cycling', 'Basketball']",No,['Rackets'],Offline,4,2,5,3,5,2,4,1900,Unlikely,No,3,"['Fitness events', 'Smart recommendations', 'Eco-friendly packaging']","['Late delivery', 'None', 'Poor quality', 'Not eco-friendly']",No,Beginner,Definitely
59,59342,Retired,Metro,5,5+ times,['Cycling'],Yes,[],Both,4,3,2,3,1,3,4,2012,Likely,No,3,"['Loyalty rewards', 'Eco-friendly packaging', 'Smart recommendations']",['None'],Maybe,Intermediate,Probably
56,33985,Homemaker,Tier 2,4,5+ times,"['Cycling', 'Tennis', 'Gym']",Yes,"['Weights', 'Yoga Mats']",Online,5,5,1,3,1,2,2,2174,Very Likely,No,2,"['Buy-back offers', 'Fitness events', 'Loyalty rewards']","['None', 'Limited stock', 'Poor personalization']",No,Beginner,Probably
58,47864,Homemaker,Metro,2,3-4 times,"['Cricket', 'Gym', 'Cycling']",Yes,['Balls'],Online,5,4,1,4,1,5,4,1642,Very Likely,Maybe,5,"['Loyalty rewards', 'Same-day delivery', 'Buy-back offers']",['Late delivery'],Yes,Beginner,Definitely
45,51804,Retired,Tier 2,5,3-4 times,['Football'],No,[],Online,3,3,1,3,1,2,3,1839,Neutral,Yes,4,"['Fitness events', 'Buy-back offers', 'Eco-friendly packaging']","['No bundling', 'Not eco-friendly', 'Late delivery', 'Poor personalization']",No,Beginner,Probably
24,57716,Student,Metro,4,3-4 times,"['Cricket', 'Tennis', 'Gym']",Yes,"['Balls', 'Shoes', 'Yoga Mats']",Both,4,4,5,4,3,2,3,2294,Likely,Yes,3,"['Eco-friendly packaging', 'Loyalty rewards', 'Personalized discounts']",['Expensive pricing'],Yes,Intermediate,Probably
26,60674,Student,Tier 2,3,Never,"['Gym', 'Cycling', 'Cricket', 'Football']",Yes,['Rackets'],Both,3,5,4,5,5,2,3,2832,Neutral,Maybe,3,"['Loyalty rewards', 'Same-day delivery', 'Smart recommendations']","['None', 'Limited stock', 'Poor quality']",Yes,Beginner,Probably
25,33130,Business Owner,Tier 3,5,1-2 times,"['Tennis', 'Football', 'Badminton', 'Running']",No,[],Online,5,4,2,3,2,5,4,435,Likely,No,4,"['Fitness events', 'Same-day delivery', 'Loyalty rewards']","['Late delivery', 'None', 'No bundling']",Maybe,Intermediate,Probably
29,26988,Athlete,Metro,4,5+ times,"['Basketball', 'Tennis']",Yes,['Nets'],Both,3,5,3,4,5,4,3,1704,Very Likely,No,3,"['Eco-friendly packaging', 'Fitness events', 'Loyalty rewards']",['Expensive pricing'],No,Intermediate,Probably
51,69165,Working Professional,Tier 3,1,5+ times,"['Basketball', 'Running']",No,[],Offline,3,5,4,5,3,2,2,2171,Very Likely,Yes,2,"['Fitness events', 'Eco-friendly packaging', 'Personalized discounts']","['Poor quality', 'Late delivery', 'Limited stock']",Maybe,Intermediate,Probably
50,54984,Student,Metro,1,1-2 times,['Running'],Yes,[],Offline,5,5,3,5,1,3,5,1265,Neutral,Yes,2,"['Personalized discounts', 'Buy-back offers', 'Loyalty rewards']",['Limited stock'],No,Intermediate,Definitely
40,38772,Homemaker,Tier 3,2,3-4 times,"['Tennis', 'Cycling']",Yes,"['Weights', 'Nets', 'Rackets']",Online,4,3,4,5,3,5,4,3384,Very Likely,No,4,"['Buy-back offers', 'Fitness events', 'Loyalty rewards']","['Late delivery', 'No bundling', 'None']",No,Intermediate,Probably
41,73267,Business Owner,Tier 2,4,5+ times,"['Football', 'Tennis', 'Badminton', 'Cricket']",Yes,['Nets'],Online,3,4,1,4,4,3,3,1491,Likely,No,3,"['Personalized discounts', 'Same-day delivery', 'Buy-back offers']",['No bundling'],No,Expert,Probably
54,51735,Working Professional,Tier 2,1,Never,['Cricket'],Yes,"['Weights', 'Balls']",Online,5,4,5,3,4,2,2,1966,Likely,Yes,3,"['Fitness events', 'Buy-back offers', 'Personalized discounts']",['Not eco-friendly'],No,Beginner,Probably
52,67689,Business Owner,Tier 2,3,1-2 times,['Cricket'],No,"['Shoes', 'Weights', 'Rackets']",Offline,4,2,3,3,5,3,5,2444,Likely,Yes,5,"['Personalized discounts', 'Same-day delivery', 'Buy-back offers']",['Poor quality'],No,Beginner,Definitely
57,51012,Working Professional,Tier 3,4,5+ times,"['Football', 'Cycling']",Yes,"['Weights', 'Nets', 'Rackets']",Online,5,2,4,4,5,2,2,1526,Likely,Maybe,3,"['Personalized discounts', 'Fitness events', 'Smart recommendations']","['Expensive pricing', 'Limited stock']",Yes,Beginner,Not Sure
39,80911,Working Professional,Metro,3,3-4 times,"['Tennis', 'Football', 'Running', 'Gym']",Yes,[],Both,3,2,5,3,2,5,3,522,Likely,Yes,2,"['Same-day delivery', 'Smart recommendations', 'Eco-friendly packaging']","['Limited stock', 'Poor quality', 'Poor personalization']",Yes,Beginner,Definitely
44,76330,Retired,Metro,3,Never,['Running'],Yes,"['Balls', 'Nets']",Online,4,2,3,4,2,3,2,1657,Likely,Maybe,1,"['Loyalty rewards', 'Fitness events', 'Eco-friendly packaging']","['None', 'Expensive pricing', 'No bundling', 'Not eco-friendly']",No,Beginner,Probably Not
52,46265,Student,Tier 2,1,3-4 times,"['Tennis', 'Cycling', 'Running', 'Cricket']",Yes,['Yoga Mats'],Online,4,4,2,3,4,3,5,2823,Likely,Yes,1,"['Same-day delivery', 'Fitness events', 'Personalized discounts']",['Poor personalization'],Yes,Intermediate,Definitely
18,64573,Business Owner,Tier 3,4,5+ times,"['Basketball', 'Tennis', 'Cricket', 'Cycling']",Yes,"['Nets', 'Yoga Mats']",Offline,5,5,4,5,1,2,3,1730,Neutral,No,1,"['Same-day delivery', 'Buy-back offers', 'Personalized discounts']","['Late delivery', 'Poor personalization']",Maybe,Intermediate,Definitely Not
52,59680,Business Owner,Tier 2,5,3-4 times,"['Badminton', 'Cycling', 'Tennis', 'Basketball']",Yes,"['Nets', 'Rackets']",Both,5,5,2,3,3,2,5,1322,Very Likely,Maybe,1,"['Eco-friendly packaging', 'Fitness events', 'Smart recommendations']","['Late delivery', 'Not eco-friendly', 'None', 'Poor quality']",Maybe,Expert,Probably
54,70529,Retired,Tier 2,1,1-2 times,"['Cycling', 'Gym']",Yes,"['Balls', 'Yoga Mats']",Online,5,3,1,4,2,4,2,2740,Likely,No,3,"['Eco-friendly packaging', 'Fitness events', 'Personalized discounts']",['Poor quality'],Maybe,Beginner,Probably
31,35526,Homemaker,Metro,1,1-2 times,"['Running', 'Football', 'Cycling']",No,"['Weights', 'Shoes']",Online,4,5,2,4,2,2,4,1735,Unlikely,Yes,3,"['Smart recommendations', 'Loyalty rewards', 'Fitness events']","['Poor quality', 'Not eco-friendly', 'Late delivery', 'No bundling']",No,Beginner,Definitely
20,60290,Homemaker,Tier 3,4,3-4 times,"['Badminton', 'Football', 'Cricket']",Yes,"['Rackets', 'Balls']",Both,4,4,2,5,1,2,4,1591,Very Likely,No,5,"['Loyalty rewards', 'Fitness events', 'Same-day delivery']","['Poor personalization', 'Not eco-friendly']",No,Expert,Definitely
18,65876,Student,Metro,4,3-4 times,['Cricket'],Yes,[],Online,3,4,4,4,1,4,4,2119,Very Likely,Yes,3,"['Smart recommendations', 'Same-day delivery', 'Buy-back offers']","['Not eco-friendly', 'Limited stock', 'No bundling', 'Poor quality']",Yes,Expert,Definitely
22,23618,Student,Tier 2,3,3-4 times,"['Gym', 'Cricket', 'Cycling', 'Badminton']",Yes,[],Online,4,4,1,3,5,2,4,2616,Very Likely,Yes,1,"['Personalized discounts', 'Buy-back offers', 'Same-day delivery']",['Expensive pricing'],Yes,Intermediate,Definitely
43,32251,Athlete,Metro,4,Never,"['Running', 'Badminton']",No,"['Yoga Mats', 'Rackets', 'Weights']",Both,3,3,2,3,3,2,5,3905,Likely,Maybe,4,"['Personalized discounts', 'Eco-friendly packaging', 'Smart recommendations']","['Late delivery', 'Poor quality', 'Not eco-friendly', 'None']",Yes,Intermediate,Probably
31,19411,Retired,Metro,3,5+ times,"['Basketball', 'Cricket', 'Badminton', 'Cycling']",Yes,[],Online,5,2,5,5,1,4,4,2661,Unlikely,No,4,"['Same-day delivery', 'Eco-friendly packaging', 'Fitness events']","['None', 'Not eco-friendly', 'Late delivery', 'Poor quality']",Maybe,Expert,Definitely
56,45958,Homemaker,Metro,1,Never,"['Basketball', 'Cricket', 'Badminton', 'Cycling']",Yes,"['Yoga Mats', 'Weights', 'Balls']",Online,5,5,3,4,2,5,5,2927,Likely,No,2,"['Personalized discounts', 'Fitness events', 'Loyalty rewards']",['No bundling'],Maybe,Intermediate,Not Sure
44,60763,Working Professional,Metro,2,1-2 times,"['Tennis', 'Running']",Yes,"['Shoes', 'Yoga Mats', 'Weights']",Online,4,4,2,5,2,5,3,1595,Unlikely,Yes,2,"['Same-day delivery', 'Smart recommendations', 'Loyalty rewards']","['Late delivery', 'Poor quality']",Maybe,Beginner,Definitely
26,72535,Business Owner,Tier 2,5,Never,"['Football', 'Badminton', 'Running']",No,['Nets'],Online,5,4,1,3,4,2,4,1179,Very Likely,Yes,3,"['Buy-back offers', 'Smart recommendations', 'Same-day delivery']","['None', 'Poor quality']",Maybe,Expert,Probably Not
32,51111,Student,Metro,1,1-2 times,"['Cricket', 'Badminton', 'Running', 'Tennis']",Yes,"['Balls', 'Nets']",Online,5,2,2,5,1,2,5,2049,Neutral,Yes,4,"['Loyalty rewards', 'Smart recommendations', 'Eco-friendly packaging']","['Limited stock', 'Expensive pricing', 'Poor personalization', 'No bundling']",Yes,Intermediate,Probably
32,74429,Business Owner,Metro,4,3-4 times,"['Gym', 'Basketball', 'Football', 'Cycling']",No,[],Online,4,4,3,4,5,4,4,2085,Neutral,No,1,"['Fitness events', 'Buy-back offers', 'Smart recommendations']","['None', 'Poor quality', 'Poor personalization']",No,Beginner,Definitely
43,29298,Business Owner,Metro,5,3-4 times,"['Tennis', 'Basketball', 'Running']",Yes,['Nets'],Online,3,5,1,5,3,4,4,1137,Likely,No,1,"['Eco-friendly packaging', 'Personalized discounts', 'Buy-back offers']","['Not eco-friendly', 'Late delivery', 'Limited stock', 'None']",No,Intermediate,Probably
59,24449,Athlete,Metro,2,1-2 times,"['Basketball', 'Gym']",Yes,[],Online,4,3,4,4,5,5,4,1859,Likely,No,1,"['Eco-friendly packaging', 'Loyalty rewards', 'Personalized discounts']","['Limited stock', 'None', 'Not eco-friendly']",Maybe,Intermediate,Definitely
30,49166,Homemaker,Metro,2,3-4 times,['Badminton'],No,"['Yoga Mats', 'Nets', 'Rackets']",Both,3,4,1,4,2,3,5,2319,Very Likely,Maybe,3,"['Smart recommendations', 'Same-day delivery', 'Loyalty rewards']","['None', 'Late delivery', 'Poor quality', 'Expensive pricing']",No,Expert,Definitely
49,55760,Student,Metro,3,Never,"['Running', 'Basketball', 'Cricket']",Yes,[],Online,4,5,4,3,5,2,2,2288,Likely,Yes,3,"['Personalized discounts', 'Fitness events', 'Eco-friendly packaging']","['Poor personalization', 'No bundling']",No,Beginner,Probably
56,49509,Business Owner,Tier 2,5,3-4 times,['Cricket'],No,"['Rackets', 'Balls']",Online,4,4,1,3,2,3,4,2403,Neutral,Yes,5,"['Fitness events', 'Loyalty rewards', 'Personalized discounts']","['Expensive pricing', 'Poor personalization', 'Not eco-friendly', 'None']",No,Expert,Probably
49,18988,Student,Tier 2,3,5+ times,['Running'],No,"['Balls', 'Weights', 'Rackets']",Both,5,2,3,3,2,3,4,2232,Neutral,Yes,1,"['Same-day delivery', 'Fitness events', 'Loyalty rewards']","['None', 'Poor quality', 'Not eco-friendly', 'Limited stock']",Maybe,Intermediate,Probably Not
21,48663,Working Professional,Tier 2,1,1-2 times,"['Football', 'Cricket', 'Badminton']",No,"['Yoga Mats', 'Rackets', 'Nets']",Offline,4,4,3,4,2,4,3,1594,Likely,Yes,1,"['Smart recommendations', 'Loyalty rewards', 'Buy-back offers']","['Not eco-friendly', 'Late delivery', 'Poor personalization']",Yes,Intermediate,Probably
47,30432,Athlete,Metro,5,3-4 times,"['Tennis', 'Badminton', 'Basketball', 'Football']",Yes,['Shoes'],Online,4,4,1,5,2,2,2,1588,Unlikely,Yes,3,"['Fitness events', 'Personalized discounts', 'Smart recommendations']","['Poor personalization', 'No bundling']",Yes,Beginner,Definitely Not
54,60045,Working Professional,Metro,1,1-2 times,['Gym'],No,"['Yoga Mats', 'Shoes']",Both,3,3,2,4,2,2,5,1040,Likely,Maybe,3,"['Buy-back offers', 'Fitness events', 'Eco-friendly packaging']","['Poor personalization', 'No bundling', 'Expensive pricing']",No,Intermediate,Probably Not
40,55498,Student,Tier 3,3,Never,['Football'],Yes,"['Shoes', 'Weights', 'Yoga Mats']",Online,5,2,3,3,4,4,3,3427,Likely,Yes,5,"['Smart recommendations', 'Eco-friendly packaging', 'Buy-back offers']","['Poor quality', 'Poor personalization', 'No bundling', 'Limited stock']",Yes,Expert,Not Sure
56,35901,Student,Tier 2,5,1-2 times,"['Tennis', 'Basketball']",No,"['Shoes', 'Nets']",Online,3,2,4,3,5,3,4,2010,Likely,Maybe,5,"['Loyalty rewards', 'Same-day delivery', 'Eco-friendly packaging']",['None'],Yes,Beginner,Probably
32,42291,Homemaker,Metro,3,3-4 times,"['Badminton', 'Football', 'Tennis', 'Running']",Yes,[],Both,3,3,4,5,4,4,3,1820,Very Likely,Yes,2,"['Fitness events', 'Same-day delivery', 'Personalized discounts']","['None', 'Limited stock', 'Expensive pricing', 'No bundling']",Maybe,Beginner,Definitely
46,34111,Business Owner,Metro,5,3-4 times,['Badminton'],No,"['Balls', 'Weights']",Offline,5,4,5,3,4,5,3,1256,Very Likely,Maybe,4,"['Personalized discounts', 'Eco-friendly packaging', 'Loyalty rewards']","['No bundling', 'Poor personalization', 'Limited stock', 'Late delivery']",Maybe,Intermediate,Definitely
53,49059,Business Owner,Metro,3,1-2 times,"['Cricket', 'Gym']",Yes,"['Rackets', 'Nets', 'Shoes']",Online,5,5,4,3,1,2,4,4348,Very Likely,No,1,"['Personalized discounts', 'Same-day delivery', 'Loyalty rewards']","['Poor quality', 'Limited stock', 'Expensive pricing']",No,Intermediate,Probably
30,64327,Working Professional,Metro,2,5+ times,"['Badminton', 'Gym', 'Cricket', 'Football']",Yes,['Rackets'],Online,5,2,5,3,1,5,2,1141,Neutral,Maybe,1,"['Eco-friendly packaging', 'Personalized discounts', 'Smart recommendations']",['Poor personalization'],No,Beginner,Probably
49,35214,Athlete,Metro,3,3-4 times,"['Badminton', 'Cricket', 'Cycling']",Yes,"['Nets', 'Weights', 'Shoes']",Offline,4,2,1,5,1,4,2,1656,Unlikely,Yes,5,"['Smart recommendations', 'Loyalty rewards', 'Fitness events']",['Poor quality'],No,Intermediate,Definitely
24,57560,Retired,Tier 2,2,5+ times,"['Basketball', 'Running', 'Cycling']",No,"['Weights', 'Nets']",Online,5,4,1,4,3,2,3,2332,Neutral,No,5,"['Loyalty rewards', 'Buy-back offers', 'Fitness events']","['Expensive pricing', 'Poor quality', 'Poor personalization']",Maybe,Intermediate,Probably
39,42046,Business Owner,Tier 2,3,3-4 times,"['Tennis', 'Gym']",Yes,"['Rackets', 'Balls']",Both,5,4,1,3,1,5,4,2480,Very Likely,Maybe,2,"['Same-day delivery', 'Loyalty rewards', 'Fitness events']","['No bundling', 'Not eco-friendly']",Yes,Beginner,Definitely
45,38106,Homemaker,Tier 2,5,3-4 times,"['Gym', 'Football', 'Running']",Yes,"['Shoes', 'Weights', 'Rackets']",Online,5,2,2,5,5,5,5,2766,Very Likely,Yes,4,"['Fitness events', 'Personalized discounts', 'Same-day delivery']",['Poor personalization'],Maybe,Intermediate,Not Sure
19,48394,Working Professional,Tier 2,5,1-2 times,['Badminton'],No,"['Rackets', 'Balls']",Both,3,4,2,3,4,3,3,3446,Very Likely,Yes,2,"['Fitness events', 'Same-day delivery', 'Eco-friendly packaging']",['Limited stock'],Maybe,Beginner,Definitely
59,34471,Working Professional,Tier 3,5,1-2 times,"['Running', 'Basketball', 'Cricket', 'Gym']",Yes,[],Offline,3,5,5,5,5,2,5,2404,Unlikely,Yes,4,"['Loyalty rewards', 'Personalized discounts', 'Eco-friendly packaging']","['Late delivery', 'None', 'No bundling']",Yes,Intermediate,Probably
23,41695,Retired,Tier 2,4,5+ times,['Cycling'],Yes,"['Nets', 'Balls', 'Weights']",Both,4,2,4,3,1,5,3,1155,Very Likely,Maybe,1,"['Fitness events', 'Buy-back offers', 'Loyalty rewards']","['Poor personalization', 'Limited stock']",Yes,Intermediate,Not Sure
45,32031,Homemaker,Tier 3,1,1-2 times,['Badminton'],Yes,['Nets'],Both,3,5,4,5,3,5,3,1794,Likely,No,2,"['Fitness events', 'Same-day delivery', 'Loyalty rewards']","['Poor quality', 'Not eco-friendly']",No,Intermediate,Definitely
45,79470,Athlete,Metro,5,5+ times,"['Cricket', 'Running', 'Basketball']",Yes,"['Nets', 'Yoga Mats', 'Rackets']",Offline,4,5,1,3,3,3,4,2246,Very Unlikely,No,5,"['Loyalty rewards', 'Buy-back offers', 'Personalized discounts']","['Poor personalization', 'Expensive pricing', 'None', 'Limited stock']",Yes,Beginner,Probably
37,50528,Homemaker,Metro,2,3-4 times,['Basketball'],Yes,[],Online,3,4,3,4,4,5,4,3654,Likely,Yes,2,"['Personalized discounts', 'Smart recommendations', 'Eco-friendly packaging']","['Limited stock', 'Late delivery', 'Not eco-friendly', 'Expensive pricing']",Yes,Beginner,Not Sure
47,39504,Athlete,Metro,5,1-2 times,"['Badminton', 'Football', 'Gym']",Yes,[],Online,5,5,2,3,5,5,5,881,Very Unlikely,Yes,2,"['Personalized discounts', 'Eco-friendly packaging', 'Buy-back offers']","['No bundling', 'Not eco-friendly', 'None']",Yes,Expert,Definitely
28,53209,Homemaker,Tier 2,4,Never,"['Running', 'Badminton', 'Gym', 'Tennis']",Yes,[],Online,3,4,2,5,2,5,5,2962,Likely,Maybe,1,"['Loyalty rewards', 'Eco-friendly packaging', 'Buy-back offers']","['No bundling', 'Expensive pricing']",Yes,Intermediate,Definitely
45,48315,Homemaker,Tier 3,2,1-2 times,"['Cricket', 'Running', 'Cycling', 'Football']",Yes,[],Both,4,3,1,3,5,3,2,2143,Neutral,Yes,5,"['Eco-friendly packaging', 'Buy-back offers', 'Personalized discounts']","['Poor quality', 'No bundling', 'Not eco-friendly']",No,Intermediate,Definitely
42,46685,Student,Metro,4,5+ times,['Cricket'],No,[],Both,3,4,2,4,1,5,4,2670,Likely,No,5,"['Smart recommendations', 'Personalized discounts', 'Buy-back offers']","['No bundling', 'Expensive pricing', 'Not eco-friendly', 'Late delivery']",No,Intermediate,Probably
56,59212,Working Professional,Tier 3,2,3-4 times,"['Gym', 'Badminton']",Yes,['Rackets'],Online,5,5,1,3,2,5,3,1918,Likely,Maybe,3,"['Smart recommendations', 'Same-day delivery', 'Buy-back offers']","['Poor personalization', 'Not eco-friendly', 'None']",Yes,Intermediate,Probably
50,61362,Homemaker,Metro,3,1-2 times,"['Basketball', 'Tennis', 'Football']",Yes,"['Shoes', 'Yoga Mats']",Online,4,3,5,5,3,2,3,1326,Very Likely,Yes,3,"['Eco-friendly packaging', 'Buy-back offers', 'Loyalty rewards']","['Expensive pricing', 'Late delivery', 'Poor personalization']",Yes,Beginner,Definitely
18,42042,Retired,Tier 3,1,1-2 times,"['Cricket', 'Basketball', 'Cycling']",No,[],Online,5,4,4,5,4,2,2,2600,Likely,No,3,"['Same-day delivery', 'Buy-back offers', 'Smart recommendations']",['Poor quality'],No,Beginner,Probably
44,41362,Homemaker,Metro,1,1-2 times,['Cricket'],Yes,[],Offline,5,5,3,4,4,3,4,2523,Likely,Yes,1,"['Same-day delivery', 'Buy-back offers', 'Fitness events']",['Late delivery'],No,Beginner,Definitely
30,45874,Business Owner,Metro,4,3-4 times,"['Gym', 'Football', 'Running']",Yes,"['Balls', 'Yoga Mats', 'Shoes']",Online,4,2,4,5,3,4,3,2777,Very Likely,No,2,"['Personalized discounts', 'Buy-back offers', 'Fitness events']",['Poor quality'],Yes,Intermediate,Not Sure
58,15471,Working Professional,Metro,1,1-2 times,"['Tennis', 'Gym', 'Cricket']",No,['Weights'],Both,5,2,4,3,1,2,2,1989,Very Likely,Yes,5,"['Personalized discounts', 'Smart recommendations', 'Loyalty rewards']","['Poor personalization', 'Expensive pricing', 'Late delivery', 'Poor quality']",Maybe,Beginner,Definitely
20,27272,Business Owner,Metro,4,5+ times,"['Gym', 'Cycling']",No,['Yoga Mats'],Both,5,4,5,3,3,3,2,1520,Unlikely,No,5,"['Smart recommendations', 'Buy-back offers', 'Eco-friendly packaging']","['None', 'Poor quality', 'Limited stock']",No,Beginner,Not Sure
56,70503,Working Professional,Metro,4,1-2 times,"['Cycling', 'Badminton']",No,"['Balls', 'Weights']",Online,3,4,2,3,1,5,3,752,Likely,Yes,2,"['Same-day delivery', 'Fitness events', 'Personalized discounts']",['Poor personalization'],No,Intermediate,Probably
23,74674,Business Owner,Metro,4,1-2 times,['Basketball'],No,['Weights'],Online,5,2,3,5,2,5,3,2655,Neutral,Yes,5,"['Fitness events', 'Buy-back offers', 'Eco-friendly packaging']",['Limited stock'],No,Beginner,Not Sure
25,46264,Homemaker,Tier 3,1,3-4 times,"['Tennis', 'Cycling']",No,"['Yoga Mats', 'Nets', 'Rackets']",Online,5,5,2,3,3,3,5,2339,Very Unlikely,No,2,"['Same-day delivery', 'Buy-back offers', 'Eco-friendly packaging']",['No bundling'],Yes,Intermediate,Probably
44,58648,Homemaker,Tier 2,4,3-4 times,['Basketball'],Yes,"['Shoes', 'Rackets', 'Yoga Mats']",Online,5,5,4,3,1,5,4,1227,Likely,Yes,1,"['Smart recommendations', 'Same-day delivery', 'Eco-friendly packaging']","['Limited stock', 'Not eco-friendly', 'None', 'Poor quality']",Yes,Beginner,Probably
26,54668,Student,Metro,1,5+ times,"['Basketball', 'Tennis', 'Cricket', 'Football']",No,"['Rackets', 'Shoes']",Online,5,5,1,3,2,5,5,1569,Very Likely,No,1,"['Personalized discounts', 'Buy-back offers', 'Eco-friendly packaging']","['Poor quality', 'Late delivery', 'Expensive pricing', 'Not eco-friendly']",No,Beginner,Definitely
54,96183,Retired,Tier 2,4,3-4 times,['Gym'],Yes,"['Rackets', 'Nets', 'Shoes']",Online,4,4,4,4,3,4,2,1626,Neutral,Yes,1,"['Eco-friendly packaging', 'Buy-back offers', 'Same-day delivery']","['Late delivery', 'Not eco-friendly', 'Expensive pricing']",Yes,Intermediate,Not Sure
50,66793,Business Owner,Tier 2,5,Never,"['Cycling', 'Running', 'Gym', 'Football']",No,[],Both,3,3,2,5,4,5,3,813,Very Likely,No,2,"['Buy-back offers', 'Eco-friendly packaging', 'Loyalty rewards']","['No bundling', 'Poor quality', 'Limited stock']",Yes,Beginner,Probably
59,48081,Athlete,Metro,4,3-4 times,['Badminton'],Yes,[],Online,5,3,4,5,3,2,5,1345,Very Likely,Yes,2,"['Fitness events', 'Same-day delivery', 'Eco-friendly packaging']","['Not eco-friendly', 'Expensive pricing', 'Poor quality']",No,Expert,Probably
41,35666,Student,Metro,2,1-2 times,"['Basketball', 'Cycling', 'Gym']",Yes,"['Weights', 'Shoes', 'Yoga Mats']",Online,5,3,1,5,5,5,2,1092,Very Likely,No,4,"['Loyalty rewards', 'Same-day delivery', 'Personalized discounts']",['No bundling'],Yes,Intermediate,Probably
32,25903,Business Owner,Metro,4,Never,"['Football', 'Tennis']",Yes,"['Nets', 'Rackets']",Both,4,3,5,4,3,3,4,1670,Neutral,Yes,5,"['Buy-back offers', 'Same-day delivery', 'Fitness events']","['Expensive pricing', 'Limited stock']",Maybe,Beginner,Not Sure
49,53051,Business Owner,Metro,3,5+ times,"['Cricket', 'Cycling', 'Tennis', 'Football']",No,['Shoes'],Both,5,3,2,5,5,4,3,1409,Very Likely,Yes,5,"['Eco-friendly packaging', 'Loyalty rewards', 'Same-day delivery']","['Limited stock', 'Late delivery', 'No bundling', 'Poor personalization']",Yes,Beginner,Probably
49,38654,Student,Tier 2,4,3-4 times,['Tennis'],Yes,"['Rackets', 'Nets']",Online,4,4,4,4,2,5,5,698,Neutral,Yes,4,"['Buy-back offers', 'Same-day delivery', 'Fitness events']",['None'],Yes,Intermediate,Definitely
41,28666,Homemaker,Metro,2,5+ times,"['Running', 'Basketball']",No,['Balls'],Offline,3,4,2,4,3,3,4,3618,Likely,No,4,"['Eco-friendly packaging', 'Same-day delivery', 'Loyalty rewards']",['No bundling'],No,Beginner,Probably
58,40301,Business Owner,Tier 2,2,3-4 times,['Badminton'],No,"['Weights', 'Shoes', 'Nets']",Online,3,3,5,5,2,2,5,3002,Unlikely,Yes,1,"['Eco-friendly packaging', 'Personalized discounts', 'Fitness events']","['Limited stock', 'No bundling', 'Expensive pricing']",No,Beginner,Probably
29,33776,Homemaker,Tier 2,1,3-4 times,"['Tennis', 'Football']",Yes,"['Rackets', 'Shoes', 'Yoga Mats']",Both,5,4,4,3,2,5,2,1376,Very Unlikely,Maybe,4,"['Smart recommendations', 'Fitness events', 'Eco-friendly packaging']","['No bundling', 'Late delivery', 'None']",Maybe,Intermediate,Probably Not
56,75307,Student,Metro,5,1-2 times,"['Cricket', 'Gym']",No,[],Both,5,4,4,3,1,4,4,2217,Likely,Maybe,2,"['Loyalty rewards', 'Eco-friendly packaging', 'Fitness events']",['Limited stock'],Yes,Expert,Not Sure
